flare_id,duration,att_in,peak_UTC,LC0_BKG,_id,GOES_class,GOES_flux,goes_estimated_min_class,goes_estimated_max_class,goes_estimated_mean_class,goes_estimated_min_flux,goes_estimated_max_flux,goes_estimated_mean_flux,CFL_X_arcsec,CFL_Y_arcsec,start_UTC,end_UTC,LC0_PEAK_COUNTS_4S,LC0_BKG_COUNTS_4S,LC1_PEAK_COUNTS_4S,LC1_BKG_COUNTS_4S,LC2_PEAK_COUNTS_4S,LC2_BKG_COUNTS_4S,LC3_PEAK_COUNTS_4S,LC3_BKG_COUNTS_4S,LC4_PEAK_COUNTS_4S,LC4_BKG_COUNTS_4S,filenames
2501021513,1400,False,2025-01-02T15:13:04.474,247.5605231477508,70309,C4.0,3.98859083361458e-06,B7,C1,B10,-6.149802687854124,-5.844481287986001,-6.0034995879200626,,,2025-01-02T15:08:04.474,2025-01-02T15:31:24.476,1599,303.0,135,41.0,67,49.0,671,607.0,335,303.0,raw_fits\solo_L1_stix-sci-xray-cpd_20250102T145126-20250102T160159_V02_2501021331-57466.fits
2501021543,788,False,2025-01-02T15:43:16.478,247.5605231477508,70310,C3.8,3.8143086840136675e-06,B7,C1,B10,-6.149808719085655,-5.844488415193685,-6.00350616713967,,,2025-01-02T15:37:52.477,2025-01-02T15:51:00.479,1599,303.0,115,41.0,67,49.0,671,607.0,335,303.0,raw_fits\solo_L1_stix-sci-xray-cpd_20250102T145126-20250102T160159_V02_2501021331-57466.fits
2501021727,320,False,2025-01-02T17:27:16.489,506.4647543070286,70314,C6.6,6.6257475737074856e-06,C2,C4,C3,-5.724663805654584,-5.3505433152781485,-5.543961160466367,,,2025-01-02T17:23:28.489,2025-01-02T17:28:48.489,8703,303.0,863,41.0,183,49.0,671,607.0,335,303.0,raw_fits\solo_L1_stix-sci-xray-cpd_20250102T164635-20250102T182231_V02_2501023552-60420.fits
2501021736,584,False,2025-01-02T17:36:28.490,506.4647543070286,70315,M1.1,1.1365803402441088e-05,C2,C5,C3,-5.668965741541659,-5.286813495665639,-5.484247218603649,,,2025-01-02T17:30:32.489,2025-01-02T17:40:16.491,10751,303.0,671,41.0,107,49.0,671,607.0,367,303.0,raw_fits\solo_L1_stix-sci-xray-cpd_20250102T164635-20250102T182231_V02_2501023552-60420.fits
2501021749,1404,False,2025-01-02T17:49:52.492,506.4647543070286,70316,C9.6,9.556535587762482e-06,C2,C4,C3,-5.724669558950385,-5.350549907764931,-5.543967333357658,,,2025-01-02T17:41:16.491,2025-01-02T18:04:40.493,8703,303.0,543,41.0,75,49.0,671,607.0,335,303.0,raw_fits\solo_L1_stix-sci-xray-cpd_20250102T164635-20250102T182231_V02_2501023552-60420.fits
2501021844,412,False,2025-01-02T18:44:16.498,325.1897933037719,70319,C4.5,4.548051038000267e-06,B10,C2,C1,-6.0214203031348035,-5.693668495701187,-5.863901999417996,,,2025-01-02T18:42:40.497,2025-01-02T18:49:32.498,2687,303.0,303,41.0,91,49.0,671,607.0,335,303.0,raw_fits\solo_L1_stix-sci-xray-cpd_20250102T184045-20250102T185138_V02_2501027041-57337.fits
2501021952,128,False,2025-01-02T19:52:44.505,325.1897933037719,70324,C3.7,3.65581399819348e-06,B10,C2,C1,-6.021435677498813,-5.6936864565700835,-5.863918667034448,,,2025-01-02T19:51:36.505,2025-01-02T19:53:44.505,2687,303.0,199,41.0,61,49.0,671,607.0,335,303.0,raw_fits\solo_L1_stix-sci-xray-cpd_20250102T195141-20250102T195345_V02_2501027849-57339.fits
2501022002,248,False,2025-01-02T20:02:56.506,246.0718962011958,70325,C3.4,3.3631681617407594e-06,B6,C1,B9,-6.193797723785547,-5.896588504963741,-6.051550714374644,,,2025-01-02T19:59:48.506,2025-01-02T20:03:56.506,1343,303.0,99,41.0,67,49.0,671,607.0,367,303.0,raw_fits\solo_L1_stix-sci-xray-cpd_20250102T195955-20250102T200406_V02_2501024270-57340.fits
2501030813,3848,False,2025-01-03T08:13:16.586,197.14496103689353,70356,C5.0,4.950221864419291e-06,C1,C3,C2,-5.902034449439481,-5.554824072672908,-5.734786861056193,,,2025-01-03T07:51:36.584,2025-01-03T08:55:44.591,4351,303.0,335,41.0,91,49.0,735,607.0,367,303.0,raw_fits\solo_L1_stix-sci-xray-cpd_20250103T074937-20250103T085755_V02_2501036678-57350.fits
2501031021,4388,False,2025-01-03T10:21:52.601,197.14496103689353,70359,C3.5,3.479759243418812e-06,B8,C2,C1,-6.073767459502518,-5.7549543795579305,-5.920718519530224,,,2025-01-03T09:35:20.596,2025-01-03T10:48:28.604,2175,303.0,271,41.0,107,49.0,671,607.0,335,303.0,raw_fits\solo_L1_stix-sci-xray-cpd_20250103T093330-20250103T105039_V02_2501034284-57352.fits
